,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
0,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.097
1,Cereals,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Food,funded,14,0.055
2,Clothing Sales,female,Peru,PE,shared,field_partner,10,375,Spanish,monthly,Clothing,funded,8,0
3,Clothing Sales,female,Tajikistan,TJ,not shared,field_partner,27,850,English,monthly,Clothing,funded,14,0.021
4,Fish Selling,female,Uganda,UG,not shared,field_partner,17,550,English,irregular,Food,funded,9,0.417
5,Personal Products Sales,female,Jordan,JO,shared,field_partner,22,575,English,monthly,Retail,funded,15,0.005
6,Transportation,male,Tajikistan,TJ,not shared,field_partner,38,1125,English,irregular,Transportation,funded,6,0.033
7,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.12
8,Bakery,male,Nicaragua,NI,shared,field_partner,17,1400,Spanish,monthly,Food,not_funded,20,0.161
9,Farming,male,Nigeria,NG,shared,field_partner,19,600,English,bullet,Agriculture,funded,19,0.311
10,Primary/secondary school costs,female,Colombia,CO,not shared,field_partner,12,325,Spanish,irregular,Education,funded,7,0.009
11,Construction Supplies,female,Nicaragua,NI,shared,field_partner,14,400,Spanish,monthly,Construction,funded,15,0.112
12,Retail,female,Colombia,CO,not shared,field_partner,40,1025,Spanish,monthly,Retail,funded,17,0.009
13,Personal Products Sales,female,Philippines,PH,not shared,field_partner,17,450,English,irregular,Retail,funded,8,0.422
14,Cosmetics Sales,female,Ecuador,EC,not shared,field_partner,26,1650,Spanish,irregular,Retail,funded,8,0.054
15,Higher education costs,female,Colombia,CO,shared,field_partner,9,225,Spanish,monthly,Education,funded,4,0.583
16,General Store,male,Honduras,HN,shared,field_partner,29,775,Spanish,monthly,Retail,funded,1 Year,0.112
17,Retail,female,Benin,BJ,shared,field_partner,13,1025,French,monthly,Retail,not_funded,14,0.083
18,Farming,group,Cambodia,KH,shared,field_partner,36,1000,English,monthly,Agriculture,funded,14,0.274
19,Used Clothing,female,Nicaragua,NI,not shared,field_partner,12,325,Spanish,monthly,Clothing,funded,13,0.161
20,Personal Housing Expenses,group,Uganda,UG,not shared,field_partner,89,2400,English,monthly,Housing,funded,14,0.013
21,Farming,group,Cambodia,KH,shared,field_partner,25,700,English,monthly,Agriculture,funded,14,0.274
22,Manufacturing,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Manufacturing,funded,7,0.039
23,Farming,male,Ecuador,EC,not shared,field_partner,21,600,Spanish,bullet,Agriculture,funded,11,0.014
24,Cheese Making,female,Jordan,JO,shared,field_partner,44,1175,English,monthly,Food,funded,21,0.005
25,Cattle,,Tajikistan,TJ,not shared,field_partner,53,1850,English,irregular,Agriculture,funded,14,0.021
26,Higher education costs,female,Cambodia,KH,shared,field_partner,52,1450,English,monthly,Education,funded,50,0.274
27,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,2,525,English,irregular,Housing,not_funded,59,0.029
28,Farming,female,Philippines,PH,shared,field_partner,8,200,English,irregular,Agriculture,funded,7,0.055
29,Food,female,Kenya,KE,shared,field_partner,1,100,English,monthly,Food,funded,8,0.075
30,Charcoal Sales,female,Philippines,PH,shared,field_partner,11,625,English,irregular,Retail,funded,8,0.091
31,Used Shoes,group,Guatemala,GT,shared,field_partner,13,325,Spanish,monthly,Clothing,funded,8,0.082
32,Retail,male,Kenya,KE,shared,field_partner,11,775,English,monthly,Retail,not_funded,14,0.02
33,Food Market,female,Sierra Leone,SL,shared,field_partner,24,700,English,monthly,Food,funded,1 Year,0.537
34,General Store,female,El Salvador,SV,shared,field_partner,5,1000,Spanish,monthly,Retail,not_funded,26,0.077
35,Agriculture,male,Ecuador,EC,not shared,field_partner,16,600,Spanish,monthly,Agriculture,funded,14,0.014
36,Home Appliances,group,Cambodia,KH,shared,field_partner,8,225,English,monthly,Personal Use,funded,8,0.204
37,Personal Products Sales,female,El Salvador,SV,shared,field_partner,6,300,Spanish,monthly,Retail,not_funded,14,0.03
38,General Store,female,Philippines,PH,shared,field_partner,18,475,English,irregular,Retail,funded,8,0.091
39,Taxi,male,Peru,PE,shared,field_partner,21,600,Spanish,monthly,Transportation,funded,8,0.062
40,General Store,male,Ecuador,EC,not shared,field_partner,36,1000,Spanish,monthly,Retail,funded,14,0.014
41,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,30,750,English,irregular,Housing,funded,60,0.075
42,General Store,female,Philippines,PH,,field_partner,19,500,English,irregular,Retail,funded,8,0.091
43,Personal Housing Expenses,group,The Democratic Republic of the Congo,CD,shared,field_partner,107,6900,French,monthly,Housing,not_funded,11,0.034
44,Electronics Sales,female,Colombia,CO,not shared,field_partner,11,1150,Spanish,monthly,Retail,not_funded,15,0.009
45,Bakery,female,Peru,PE,shared,field_partner,25,925,Spanish,monthly,Food,funded,8,0.062
46,Primary/secondary school costs,female,Uganda,UG,shared,field_partner,5,175,English,irregular,Education,funded,6,0.013
47,General Store,female,Philippines,PH,shared,field_partner,17,525,English,irregular,Retail,funded,13,0.055
48,Construction Supplies,male,Bolivia,BO,not shared,field_partner,33,1000,Spanish,monthly,Construction,funded,14,0.077
49,Fishing,female,El Salvador,SV,shared,field_partner,6,200,Spanish,monthly,Food,funded,8,0.054
